Sektor;Jednostka;Rok;Kwartal;Wartosc
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2012;1;3646,09
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2012;2;3496,82
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2012;3;3510,22
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2012;4;3690,30
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2013;1;3740,05
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2013;2;3612,51
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2013;3;3651,72
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2013;4;3823,32
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2014;1;3895,31
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2014;2;3739,97
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2014;3;3781,14
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2014;4;3942,67
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2015;1;4054,89
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2015;2;3854,88
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2015;3;3895,33
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2015;4;4066,95
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2016;1;4181,49
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2016;2;4019,08
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2016;3;4055,04
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2016;4;4218,92
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2017;1;4353,55
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2017;2;4220,69
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2017;3;4255,59
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2017;4;4516,69
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2018;1;4622,84
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2018;2;4521,08
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2018;3;4580,20
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2018;4;4863,74
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2019;1;4950,94
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2019;2;4839,24
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2019;3;4931,59
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2019;4;5198,58
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2020;1;5331,47
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2020;2;5024,48
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2020;3;5168,93
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2020;4;5457,98
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2021;1;5681,56
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2021;2;5504,52
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2021;3;5657,30
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2021;4;5995,09
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2022;1;6235,22
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2022;2;6156,25
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2022;3;6480,67
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2022;4;6733,49
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2023;1;7124,26
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2023;2;7005,76
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2023;3;7194,95
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2023;4;7540,36
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2024;1;8147,38
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2024;2;8038,41
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2024;3;8161,62
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2024;4;8477,21
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2025;1;8962,28
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2025;2;8748,63
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2025;3;8771,70
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2025;4;9197,79
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;zł;2026;1;
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2000;1;115,5
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2000;2;112,6
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2000;3;111,2
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2000;4;110,6
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2001;1;109,4
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2001;2;107,3
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2001;3;107,4
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2001;4;104,9
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2002;1;105,5
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2002;2;102,7
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2002;3;102,4
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2002;4;103,4
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2003;1;103,4
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2003;2;103,8
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2003;3;103,1
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2003;4;102,3
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2004;1;104,6
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2004;2;104,2
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2004;3;105,1
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2004;4;105,6
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2005;1;103,6
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2005;2;103,9
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2005;3;103,4
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2005;4;105,1
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2006;1;104,7
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2006;2;104,7
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2006;3;105,0
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2006;4;105,3
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2007;1;107,1
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2007;2;108,9
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2007;3;109,7
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2007;4;108,9
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2008;1;110,1
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2008;2;111,6
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2008;3;109,8
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2008;4;106,8
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2009;1;106,8
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2009;2;104,4
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2009;3;104,9
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2009;4;104,7
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2010;1;104,1
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2010;2;103,8
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2010;3;102,9
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2010;4;106,0
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2011;1;104,5
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2011;2;105,3
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2011;3;106,6
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2011;4;104,3
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2012;1;105,2
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2012;2;103,9
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2012;3;102,8
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2012;4;102,9
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2013;1;102,6
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2013;2;103,3
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2013;3;104,0
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2013;4;103,6
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2014;1;104,2
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2014;2;103,5
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2014;3;103,5
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2014;4;103,1
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2015;1;104,1
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2015;2;103,1
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2015;3;103,0
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2015;4;103,2
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2016;1;103,1
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2016;2;104,3
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2016;3;104,1
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2016;4;103,7
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2017;1;104,1
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2017;2;105,0
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2017;3;104,9
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2017;4;107,1
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2018;1;106,2
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2018;2;107,1
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2018;3;107,6
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2018;4;107,7
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2019;1;107,1
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2019;2;107,0
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2019;3;107,7
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2019;4;106,9
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2020;1;107,7
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2020;2;103,8
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2020;3;104,8
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2020;4;105,0
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2021;1;106,6
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2021;2;109,6
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2021;3;109,4
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2021;4;109,8
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2022;1;109,7
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2022;2;111,8
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2022;3;114,6
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2022;4;112,3
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2023;1;114,3
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2023;2;113,8
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2023;3;111,0
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2023;4;112,0
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2024;1;114,4
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2024;2;114,7
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2024;3;113,4
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2024;4;112,4
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2025;1;110,0
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2025;2;108,8
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2025;3;107,5
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2025;4;108,5
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;analogiczny okres roku poprzedniego=100;2026;1;
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2000;1;115,5
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2000;2;114,0
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2000;3;113,1
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2000;4;112,9
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2001;1;109,4
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2001;2;108,4
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2001;3;108,0
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2001;4;108,9
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2002;1;105,5
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2002;2;104,1
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2002;3;103,5
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2002;4;104,3
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2003;1;103,4
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2003;2;103,6
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2003;3;103,4
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2003;4;104,9
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2004;1;104,6
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2004;2;104,4
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2004;3;104,6
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2004;4;104,8
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2005;1;103,6
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2005;2;103,8
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2005;3;103,6
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2005;4;104,7
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2006;1;104,7
Przeciętne miesięczne wynagrodzenie nominalne brutto w gospodarce narodowej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2006;2;104,7
