Wskaznik;Jednostka;Rok;Kwartal;Wartosc
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2011;1;118,8
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2011;2;120,8
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2011;3;118,2
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2011;4;116,3
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2012;1;114,6
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2012;2;107,8
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2012;3;101,4
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2012;4;98,9
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2013;1;84,9
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2013;2;78,5
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2013;3;84,4
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2013;4;88,0
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2014;1;110,6
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2014;2;109,8
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2014;3;105,5
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2014;4;103,6
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2015;1;103,5
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2015;2;101,0
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2015;3;102,0
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2015;4;102,8
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2016;1;86,7
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2016;2;88,0
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2016;3;85,1
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2016;4;85,9
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2017;1;103,9
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2017;2;107,6
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2017;3;112,9
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2017;4;112,1
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2018;1;126,1
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2018;2;123,7
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2018;3;119,8
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2018;4;117,9
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2019;1;109,4
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2019;2;106,6
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2019;3;105,3
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2019;4;102,6
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2020;1;105,8
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2020;2;102,4
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2020;3;98,4
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2020;4;97,8
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2021;1;86,8
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2021;2;97,2
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2021;3;101,4
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2021;4;103,2
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2022;1;123,5
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2022;2;112,1
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2022;3;109,0
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2022;4;106,2
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2023;1;103,3
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2023;2;103,6
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2023;3;102,1
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2023;4;104,9
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2024;1;89,3
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2024;2;91,3
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2024;3;93,0
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2024;4;92,3
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2025;1;100,2
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2025;2;99,2
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2025;3;99,2
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2025;4;100,7
Sprzedaż produkcji budowlano-montażowej ogółem niewyrównana sezonowo (ceny stałe);od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2026;1;93,0
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2000;1;.
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2000;2;.
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2000;3;.
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2000;4;.
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2001;1;.
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2001;2;.
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2001;3;.
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2001;4;.
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2002;1;.
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2002;2;.
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2002;3;.
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2002;4;.
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2003;1;.
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2003;2;.
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2003;3;.
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2003;4;.
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2004;1;.
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2004;2;.
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2004;3;.
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2004;4;.
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2005;1;.
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2005;2;.
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2005;3;.
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2005;4;.
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2006;1;108,2
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2006;2;110,4
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2006;3;116,7
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2006;4;119,1
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2007;1;146,2
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2007;2;130,3
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2007;3;120,3
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2007;4;116,7
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2008;1;123,6
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2008;2;117,7
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2008;3;113,2
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2008;4;108,6
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2009;1;93,2
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2009;2;94,8
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2009;3;98,7
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2009;4;98,9
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2010;1;81,4
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2010;2;93,3
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2010;3;97,7
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2010;4;102,8
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2011;1;108,3
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2011;2;104,1
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2011;3;104,4
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2011;4;102,0
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2012;1;104,5
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2012;2;108,1
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2012;3;99,9
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2012;4;97,5
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2013;1;87,3
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2013;2;79,1
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2013;3;84,9
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2013;4;87,8
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2014;1;105,5
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2014;2;99,9
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2014;3;95,8
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2014;4;96,0
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2015;1;99,6
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2015;2;99,7
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2015;3;102,1
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2015;4;101,4
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2016;1;91,4
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2016;2;92,3
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2016;3;88,7
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2016;4;87,1
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2017;1;106,7
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2017;2;103,6
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2017;3;107,8
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2017;4;107,5
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2018;1;123,6
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2018;2;125,1
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2018;3;117,9
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2018;4;118,8
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2019;1;103,9
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2019;2;104,2
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2019;3;104,1
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2019;4;102,4
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2020;1;102,3
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2020;2;98,2
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2020;3;96,7
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2020;4;95,1
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2021;1;81,1
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2021;2;93,0
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2021;3;96,0
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2021;4;98,8
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2022;1;139,2
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2022;2;124,9
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2022;3;120,5
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2022;4;111,8
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2023;1;93,4
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2023;2;94,5
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2023;3;91,7
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2023;4;98,5
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2024;1;93,1
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2024;2;91,4
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2024;3;97,1
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2024;4;92,7
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2025;1;93,5
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2025;2;95,8
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2025;3;92,9
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2025;4;97,9
budowa budynków;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2026;1;94,2
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2000;1;.
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2000;2;.
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2000;3;.
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2000;4;.
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2001;1;.
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2001;2;.
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2001;3;.
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2001;4;.
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2002;1;.
budowa obiektów inżynierii lądowej i wodnej;od początku roku do końca okresu (analogiczny okres roku poprzedniego=100);2002;2;.
